ArtistID	GenreID
2127	237
338495	88
338495	486
338495	273
471635	72
100418	533
530022	605
436390	71
197545	88
197545	907
429820	237
429820	88
429820	2467
429820	1753
1325	2490
497002	33
497002	88
497002	1754
430152	2285
430152	2286
430152	88
430174	2285
430174	2286
430174	88
430144	2285
430144	2286
430144	88
123726	88
123726	65
430080	237
430080	88
8577	48
432093	88
432093	65
817	618
821954	1942
1075885	7
258778	237
258778	171
258778	1391
450634	111
450634	2347
450634	92
440785	2886
440785	2347
440785	111
440785	92
56357	129
128606	237
128606	88
100418	661
244077	28885
2122	186
807030	329
225357	237
225357	88
225357	1753
225357	1942
116319	88
116319	7
116319	273
116319	2234
116319	3087
505430	255
505430	2766
505430	1753
505430	627
244077	34923
244077	763
495708	14
158749	237
158749	3293
158749	564
158749	2511
158749	1753
381825	3317
220084	3346
10931	7
530022	2057
181561	68
510039	2924
510039	7
46624	2764
46624	29
93447	88
93447	1887
93447	273
93447	2096
722160	267
1060	237
232365	237
232365	171
41650	1600
41650	69
5591	88
5591	767
5591	924
5591	273
