ArtistID	TrackID
289184	3790414
289184	3790438
289184	3790419
289184	3790443
289184	3790420
289184	3790444
239780	3790568
21366	3790353
64482	3790689
289215	3790855
2096	3790870
2096	3790875
2096	3790880
2096	3790883
72002	3790984
81998	3790987
78522	3790992
78522	3790995
78522	3790997
78522	3791001
289234	3791128
289234	3791107
230270	3791149
90503	3791250
90503	3791252
90503	3791253
115121	3791325
115121	3791328
115121	3791331
115121	3791332
115121	3791334
115121	3791337
144402	3791409
1528	3791452
1528	3791454
34852	7182966
34852	7182967
34852	7182971
139290	7183079
139290	7183083
132487	7183103
379813	7183501
379813	7183502
34519	7183508
34519	7183509
56225	7183685
207407	7183741
207407	7183745
207407	7183797
207407	7183808
204802	7023770
204802	7023771
138100	7023844
259399	7023868
259399	7023873
259399	7023877
259399	7023878
34833	7024026
34833	7024028
229319	7024136
273908	7024153
310793	7024205
310793	7024207
310793	7024208
310793	7024213
548360	7024334
548360	7024337
548360	7024338
548360	7024341
548392	7024573
548392	7024577
548392	7024580
252215	7024621
252215	7024632
640076	8295907
40567	8295927
40567	8295931
40567	8295948
191	8295965
40567	8295974
40567	8295977
40567	8295979
281663	8296074
3450	8296131
3450	8296170
3450	8296176
3450	8296177
640079	8296194
161132	8296403
161132	8296404
46201	8296520
46201	8296522
46201	8296524
46201	8296526
598528	8296544
598528	8296547
46201	8296629
46201	8296631
